Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0685,0.0271,0.0154	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0693,0.0259,0.0139	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0687,0.0243,0.0120	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.0728,0.0253,0.0124	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.0734,0.0253,0.0123	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-20 	 0.0000 TEST SET,0.0769,0.0258,0.0120	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 120  	 ||||Top-20 	 0.0000 TEST SET,0.0772,0.0263,0.0125	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 140  	 ||||Top-20 	 0.0000 TEST SET,0.0862,0.0300,0.0147	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 160  	 ||||Top-20 	 0.0000 TEST SET,0.0900,0.0321,0.0164	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 180  	 ||||Top-20 	 0.0000 TEST SET,0.0999,0.0348,0.0173	||||
Instant_Video 	 MNRec_intentagGCN_Gumbelkeep5	 200  	 ||||Top-20 	 0.0000 TEST SET,0.1066,0.0378,0.0193	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0445,0.0171,0.0097	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0560,0.0176,0.0075	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0679,0.0222,0.0101	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.1071,0.0461,0.0293	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.1197,0.0530,0.0346	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-20 	 0.0000 TEST SET,0.1244,0.0550,0.0358	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 120  	 ||||Top-20 	 0.0000 TEST SET,0.1233,0.0537,0.0345	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 140  	 ||||Top-20 	 0.0000 TEST SET,0.1198,0.0518,0.0331	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 160  	 ||||Top-20 	 0.0000 TEST SET,0.1188,0.0526,0.0343	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 180  	 ||||Top-20 	 0.0000 TEST SET,0.1186,0.0515,0.0330	||||
Amazon_App 	 MNRec_intentagGCN_Gumbelkeep5	 200  	 ||||Top-20 	 0.0000 TEST SET,0.1133,0.0495,0.0318	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-20 	 0.0000 TEST SET,0.0046,0.0020,0.0013	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-20 	 0.0000 TEST SET,0.0216,0.0087,0.0052	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-20 	 0.0000 TEST SET,0.0482,0.0194,0.0115	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-20 	 0.0000 TEST SET,0.0612,0.0253,0.0154	||||
Kindle 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-20 	 0.0000 TEST SET,0.0733,0.0306,0.0191	||||
